,AUD,CAD,CHF,CNY,GBP,INR,JPY,USD,ZAR,EUR
AUD,1.0,0.903078,0.525462,4.67202,0.485618,57.761612,96.86066,0.654561,11.563514,0.559597
CAD,1.107324,1.0,0.581856,5.173442,0.537737,63.960838,107.256166,0.724811,12.804561,0.619655
CHF,1.903088,1.718637,1.0,8.891267,0.924175,109.925453,184.334398,1.245687,22.00639,1.064963
CNY,0.21404,0.193295,0.11247,1.0,0.103942,12.363305,20.732072,0.140102,2.475057,0.119776
GBP,2.05923,1.859645,1.082047,9.620765,1.0,118.944457,199.458401,1.347891,23.811938,1.152339
INR,0.017313,0.015635,0.009097,0.080885,0.008407,1.0,1.676904,0.011332,0.200194,0.009688
JPY,0.010324,0.009323,0.005425,0.048234,0.005014,0.596337,1.0,0.006758,0.119383,0.005777
USD,1.527742,1.37967,0.80277,7.137642,0.7419,88.244849,147.978114,1.0,17.666068,0.85492
ZAR,0.086479,0.078097,0.045441,0.404031,0.041996,4.995161,8.376403,0.056606,1.0,0.048393
EUR,1.787,1.6138,0.939,8.3489,0.8678,103.22,173.09,1.1697,20.664,1.0
